,cond,cond,cond,cond,cond,cond,cond,cond,cond
dim_x,2.0,10.0,25.0,50.0,100.0,250.0,500.0,750.0,1000.0
Method,,,,,,,,,
HD-SUT (Chol),48.89718947675498,554.8010936301039,10570.583542676151,12151.833177238395,30681.360752544577,111769.51936722644,368283.9383351545,680489.6715638844,1359879.8273302452
HD-SUT (Eig),954.5339651406886,15069005.476377605,3165755527.2502227,115605013128.77722,5229223164843.151,160123268928731.4,1436637123357372.0,5059323251821895.0,1.4759806170566728e+16
HD-SUT (Prin),32.75904434989087,124.99343219066024,116.40632611387439,114.5488505066543,108.96846528457603,88.31512194850737,84.68688695200879,78.61159972005437,76.54579223476856
HD-UT (Chol),48.89718947672818,554.8010936291613,10570.583543950632,12151.833176650129,30681.360755819907,111769.51937154439,368283.93832581065,680489.6715683724,1359879.8274299896
HD-UT (Eig),954.5339657547036,15068952.77245586,3164788299.9664717,1928205354721181.0,6182675143105.828,626014614648447.6,7464319739413055.0,2.080579572374282e+16,1.1174553766608347e+17
HD-UT (Prin),32.7590443498965,124.99343219065655,116.40632611387295,114.54885050665371,108.96846528457598,88.31512194850673,84.68688695200953,78.61159972005385,76.54579223476759
MC,29.7981819591763,203.3795793468744,435.8646631270611,861.5941001875206,1623.334716311792,3705.3980006218353,7545.868318478869,11274.813598400506,15180.056297129513
SUT (Chol),266026.6928825102,2607231.210748229,20438592.49027535,13676430.64087974,16054417.023038108,24390228.03063529,41682953.5521258,45904812.832306795,76877211.92436364
SUT (Eig),8953250.28905984,50574853619.6823,2877944686415.0923,37289424678715.04,39260105466595.57,282143937386695.94,1268001290044262.8,,
SUT (Prin),191490.4290811503,714306.9366827875,725851.7691136802,718753.987520411,659972.2107727518,580635.3526914055,559512.5132050028,530978.2799304257,515345.1607703863
UT (Chol),244813257.35002086,6573143477.566159,130057158740.75623,408973778682.08704,2782449667803.9473,38162110043510.17,287314651399313.2,927940658867273.2,2310415114232800.5
UT (Eig),2052688198.814537,51620530971223.21,3.395579181143617e+16,3.817341701471296e+17,3.386858667399157e+17,6.17745416231419e+17,3.6730182477016033e+18,3.9223104634302587e+18,5.635506490680933e+18
UT (Prin),160083149.30825362,2576812030.5946684,5475033800.723901,11134812904.960625,24030458955.446064,54734350773.75577,114961332255.9727,166601840869.08038,225398968393.40665
