,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff
dim_x,2.0,10.0,25.0,50.0,100.0,250.0,500.0,750.0,1000.0
Method,,,,,,,,,
HD-SUT (Chol),0.1671833647660744,3.0230219589271434,5.542343939711396,7.602381094046073,11.226560527800943,17.79670960536976,26.55813690974766,31.098765900427203,36.51316581502958
HD-SUT (Eig),0.1898769527732549,1.6470395727572116,3.0197563355503023,4.522028569062249,6.702293292396823,10.88576000994054,15.448876283989668,19.04808502776174,22.23853013032171
HD-SUT (Prin),0.13282460565731577,2.8930023715699287,7.196726545383553,12.240522986673277,19.803514737976972,34.376165765914294,51.25595486759795,63.69030598069382,74.59451391741817
HD-UT (Chol),0.16721632774929984,3.0232755054699343,5.542746904480384,7.6029748422450005,11.227411471257383,17.798062930375394,26.56001349957234,31.10112426637145,36.515880848218714
HD-UT (Eig),0.18994888319907194,1.64728221817784,3.0201398033242013,4.521197171783675,6.7030346930491564,10.874710589606956,15.452261503021571,19.058192198246186,22.17421493113638
HD-UT (Prin),0.13295640682601234,2.8932940977692687,7.197063433207685,12.240901961160082,19.803953607382837,34.37670097336101,51.25660037327638,63.69104136694798,74.59532792826016
MC,0.03172619712488987,0.08276012740485522,0.1480602528995019,0.20630097725406057,0.30383622807909294,0.48979595562066996,0.6621849852012427,0.7837123571645751,0.9421511805616806
SUT (Chol),8.149213983074182e-05,0.0009308158046205157,0.003383690642363691,0.010231936857643493,0.02908742450520062,0.11394555213019958,0.30466861222666886,0.5879737963579097,0.891146612653163
SUT (Eig),7.525096457274852e-05,0.0015023428869600842,0.006221846684844966,0.017829316283837476,0.05266832929609072,0.20610811752905953,0.6547160188488493,,
SUT (Prin),7.380954435207323e-05,0.0008258352900137055,0.002033223208531335,0.004438979023039158,0.0108555549508454,0.038310674436732126,0.10289547590309578,0.18702190730345752,0.2871810390596832
UT (Chol),1.1914121330341474,4.115549314309993,15.801141109949835,42.18556604502382,97.17973721728976,269.6036814876038,550.6054980641624,869.5601881489314,1167.9879824127224
UT (Eig),1.2560928381944376,7.411685271195674,27.288693951589106,62.89815019260108,142.03894208834615,378.1393412285307,802.9168658160083,1213.7776165765565,1639.273975094209
UT (Prin),1.1928854330793053,3.2422225154079687,9.309811553513958,19.43168970499086,40.58229873753974,103.37192363019221,208.37743066230254,316.5151964119199,426.977585635984
